접수년도,접수월,접수요일,동물종류,총건수,입양건수,입양률
2020,6,Sunday,기타,43,16,37.21
2020,6,Sunday,기타축종,12,10,83.33
2020,6,Thursday,개,1083,360,33.24
2020,6,Thursday,고양이,641,176,27.46
2020,6,Thursday,기타,74,22,29.73
2020,6,Thursday,기타축종,29,20,68.97
2020,6,Tuesday,개,1562,502,32.14
2020,6,Tuesday,고양이,817,255,31.21
2020,6,Tuesday,기타,103,37,35.92
2020,6,Tuesday,기타축종,24,16,66.67
2020,6,Wednesday,개,1021,350,34.28
2020,6,Wednesday,고양이,669,211,31.54
2020,6,Wednesday,기타,87,16,18.39
2020,6,Wednesday,기타축종,30,14,46.67
2020,7,Friday,개,1476,428,29.0
2020,7,Friday,고양이,778,202,25.96
2020,7,Friday,기타,91,18,19.78
2020,7,Friday,기타축종,33,25,75.76
2020,7,Monday,개,1566,472,30.14
2020,7,Monday,고양이,738,196,26.56
2020,7,Monday,기타,99,24,24.24
2020,7,Monday,기타축종,28,20,71.43
2020,7,Saturday,개,631,206,32.65
2020,7,Saturday,고양이,366,112,30.6
2020,7,Saturday,기타,31,7,22.58
2020,7,Saturday,기타축종,18,12,66.67
2020,7,Sunday,개,418,127,30.38
2020,7,Sunday,고양이,228,47,20.61
2020,7,Sunday,기타,28,3,10.71
2020,7,Sunday,기타축종,41,36,87.8
2020,7,Thursday,개,1592,500,31.41
2020,7,Thursday,고양이,807,215,26.64
2020,7,Thursday,기타,107,15,14.02
2020,7,Thursday,기타축종,51,43,84.31
2020,7,Tuesday,개,1352,434,32.1
2020,7,Tuesday,고양이,623,162,26.0
2020,7,Tuesday,기타,85,14,16.47
2020,7,Tuesday,기타축종,28,20,71.43
2020,7,Wednesday,개,1609,465,28.9
2020,7,Wednesday,고양이,754,206,27.32
2020,7,Wednesday,기타,76,16,21.05
2020,7,Wednesday,기타축종,18,14,77.78
2020,8,Friday,개,1318,423,32.09
2020,8,Friday,고양이,446,147,32.96
2020,8,Friday,기타,49,11,22.45
2020,8,Friday,기타축종,23,14,60.87
2020,8,Monday,개,1823,602,33.02
2020,8,Monday,고양이,608,213,35.03
2020,8,Monday,기타,66,11,16.67
2020,8,Monday,기타축종,34,26,76.47
2020,8,Saturday,개,821,244,29.72
2020,8,Saturday,고양이,359,120,33.43
2020,8,Saturday,기타,41,13,31.71
2020,8,Saturday,기타축종,14,7,50.0
2020,8,Sunday,개,572,177,30.94
2020,8,Sunday,고양이,199,61,30.65
2020,8,Sunday,기타,19,4,21.05
2020,8,Sunday,기타축종,5,2,40.0
2020,8,Thursday,개,1269,390,30.73
2020,8,Thursday,고양이,568,190,33.45
2020,8,Thursday,기타,43,11,25.58
2020,8,Thursday,기타축종,25,20,80.0
2020,8,Tuesday,개,1340,407,30.37
2020,8,Tuesday,고양이,571,210,36.78
2020,8,Tuesday,기타,66,14,21.21
2020,8,Tuesday,기타축종,21,16,76.19
2020,8,Wednesday,개,1385,438,31.62
2020,8,Wednesday,고양이,468,134,28.63
2020,8,Wednesday,기타,45,11,24.44
2020,8,Wednesday,기타축종,12,8,66.67
2020,9,Friday,개,1116,337,30.2
2020,9,Friday,고양이,474,180,37.97
2020,9,Friday,기타,31,12,38.71
2020,9,Friday,기타축종,29,21,72.41
2020,9,Monday,개,1481,456,30.79
2020,9,Monday,고양이,585,199,34.02
2020,9,Monday,기타,44,15,34.09
2020,9,Monday,기타축종,42,32,76.19
2020,9,Saturday,개,555,217,39.1
2020,9,Saturday,고양이,310,85,27.42
2020,9,Saturday,기타,23,9,39.13
2020,9,Saturday,기타축종,5,5,100.0
2020,9,Sunday,개,410,129,31.46
2020,9,Sunday,고양이,197,51,25.89
2020,9,Sunday,기타,10,3,30.0
2020,9,Sunday,기타축종,6,4,66.67
2020,9,Thursday,개,1185,391,33.0
2020,9,Thursday,고양이,499,147,29.46
2020,9,Thursday,기타,29,7,24.14
2020,9,Thursday,기타축종,22,19,86.36
2020,9,Tuesday,개,1620,547,33.77
2020,9,Tuesday,고양이,758,266,35.09
2020,9,Tuesday,기타,44,8,18.18
2020,9,Tuesday,기타축종,22,15,68.18
2020,9,Wednesday,개,1315,412,31.33
2020,9,Wednesday,고양이,592,217,36.66
2020,9,Wednesday,기타,40,17,42.5
2020,9,Wednesday,기타축종,19,16,84.21
2020,10,Friday,개,1004,323,32.17
