접수년도,접수월,종료사유_정제,건수
2023,10,입양,2833
2023,10,자연사,3317
2023,11,기증,375
2023,11,반환,1001
2023,11,방사,126
2023,11,안락사,2135
2023,11,입양,2455
2023,11,자연사,2794
2023,12,기증,327
2023,12,반환,905
2023,12,방사,66
2023,12,안락사,1931
2023,12,입양,1943
2023,12,자연사,1896
2024,1,기증,416
2024,1,반환,984
2024,1,방사,87
2024,1,안락사,2288
2024,1,입양,2200
2024,1,자연사,2044
2024,2,기증,357
2024,2,반환,907
2024,2,방사,75
2024,2,안락사,2140
2024,2,입양,2003
2024,2,자연사,1791
2024,3,기증,534
2024,3,반환,1027
2024,3,방사,72
2024,3,안락사,2316
2024,3,입양,2113
2024,3,자연사,1813
2024,4,기증,531
2024,4,반환,1125
2024,4,방사,120
2024,4,안락사,2289
2024,4,입양,2563
2024,4,자연사,2426
2024,5,기증,563
2024,5,반환,1122
2024,5,방사,185
2024,5,안락사,2074
2024,5,입양,2963
2024,5,자연사,3533
2024,6,기증,496
2024,6,반환,979
2024,6,방사,197
2024,6,안락사,1772
2024,6,입양,2379
2024,6,자연사,3344
2024,7,기증,506
2024,7,반환,1211
2024,7,방사,209
2024,7,안락사,2164
2024,7,입양,2730
2024,7,자연사,3584
2024,8,기증,391
2024,8,반환,1078
2024,8,방사,159
2024,8,안락사,1997
2024,8,입양,2278
2024,8,자연사,2697
2024,9,기증,366
2024,9,반환,1047
2024,9,방사,107
2024,9,안락사,1762
2024,9,입양,2392
2024,9,자연사,2690
2024,10,기증,425
2024,10,반환,1058
2024,10,방사,146
2024,10,안락사,2093
2024,10,입양,2718
2024,10,자연사,3227
2024,11,기증,442
2024,11,반환,869
2024,11,방사,91
2024,11,안락사,1718
2024,11,입양,2303
2024,11,자연사,2191
2024,12,기증,405
2024,12,반환,809
2024,12,방사,50
2024,12,안락사,1841
2024,12,입양,1944
2024,12,자연사,1756
2025,1,기증,350
2025,1,반환,733
2025,1,방사,40
2025,1,안락사,1528
2025,1,입양,1713
2025,1,자연사,1369
2025,2,기증,339
2025,2,반환,778
2025,2,방사,88
2025,2,안락사,1763
2025,2,입양,1738
2025,2,자연사,1251
2025,3,기증,490
2025,3,반환,938
2025,3,방사,141
2025,3,안락사,1886
2025,3,입양,2142
2025,3,자연사,1433
2025,4,기증,506
2025,4,반환,999
2025,4,방사,98
2025,4,안락사,1924
2025,4,입양,2568
2025,4,자연사,1988
2025,5,기증,474
2025,5,반환,1011
2025,5,방사,131
2025,5,안락사,1701
2025,5,입양,2830
2025,5,자연사,3090
2025,6,기증,436
2025,6,반환,910
2025,6,방사,237
2025,6,안락사,1562
2025,6,입양,2787
2025,6,자연사,3153
2025,7,기증,491
2025,7,반환,1008
2025,7,방사,186
2025,7,안락사,1529
2025,7,입양,2334
2025,7,자연사,2779
2025,8,기증,383
2025,8,반환,908
2025,8,방사,165
2025,8,안락사,1485
2025,8,입양,2074
2025,8,자연사,2100
2025,9,기증,386
2025,9,반환,1052
2025,9,방사,172
2025,9,안락사,1507
2025,9,입양,2410
2025,9,자연사,2596
2025,10,기증,401
2025,10,반환,861
2025,10,방사,147
2025,10,안락사,1268
2025,10,입양,2224
2025,10,자연사,2300
2025,11,기증,265
2025,11,반환,802
2025,11,방사,119
2025,11,안락사,936
2025,11,입양,1827
2025,11,자연사,1582
2025,12,기증,174
2025,12,반환,706
2025,12,방사,71
2025,12,안락사,627
2025,12,입양,1449
2025,12,자연사,1040
