품종,동물종류,총건수,입양건수,평균체중,평균나이,입양률
케언 테리어,개,7,4,4.214285714285714,2.0,57.14
레이크랜드 테리어,개,7,2,7.571428571428571,2.5714285714285716,28.57
아이리쉬 울프 하운드,개,7,3,38.771428571428565,2.0,42.86
살루키,기타,7,1,14.428571428571429,2.0,14.29
웰시 테리어,개,7,1,10.428571428571429,2.2857142857142856,14.29
비즐라,기타,7,2,16.54285714285714,1.2857142857142858,28.57
피레니안 마운틴 독,기타,6,2,23.32166666666667,2.5,33.33
맨체스터테리어,개,6,3,8.5,4.5,50.0
도고 까니리오,기타,6,1,30.7,3.0,16.67
카레리안 베어독,기타,6,1,13.299999999999999,1.8333333333333333,16.67
파라오 하운드,개,6,0,13.549999999999999,2.1666666666666665,0.0
스노우 슈,기타,5,2,2.8280000000000003,5.0,40.0
시베리안 포레스트,기타,5,2,3.4799999999999995,3.0,40.0
뉴펀들랜드,기타,5,2,34.1,3.0,40.0
파슨 러셀 테리어,개,5,2,7.3,3.6,40.0
웨스트하이랜드화이트테리어,개,5,1,7.6,2.8,20.0
고양이,고양이,4,3,3.125,0.5,75.0
케리 블루 테리어,개,4,1,12.0,6.5,25.0
자이언트 슈나우져,개,4,1,15.95,5.25,25.0
블랙 테리어,개,4,0,9.5,2.25,0.0
소말리,기타,4,2,1.6125,1.0,50.0
러프콜리,기타,4,0,21.8125,2.5,0.0
에어델 테리어,개,3,1,12.666666666666666,7.333333333333333,33.33
허배너스,기타,3,0,4.68,2.0,0.0
네오폴리탄 마스티프,개,3,1,21.0,2.3333333333333335,33.33
싱가퓨라,기타,3,3,2.566666666666667,2.0,100.0
아나톨리안 셰퍼드,개,3,0,56.666666666666664,3.0,0.0
아메리칸 핏불 테리어 믹스견,개,3,0,12.666666666666666,2.6666666666666665,0.0
플롯하운드,개,3,0,17.666666666666668,3.3333333333333335,0.0
샤트룩스,기타,3,1,6.333333333333333,2.3333333333333335,33.33
로트와일러 믹스견,개,3,0,19.0,2.0,0.0
저먼 쇼트헤어드 포인터,개,3,1,15.333333333333334,4.666666666666667,33.33
통키니즈,기타,3,1,3.1266666666666665,3.6666666666666665,33.33
벨기에 테뷰런,기타,2,0,29.5,5.5,0.0
볼로네즈,기타,2,1,16.0,6.0,50.0
하바나 브라운,기타,2,2,0.8500000000000001,0.0,100.0
노르포크 테리어,개,2,1,3.75,1.5,50.0
니벨룽,기타,2,1,3.55,4.5,50.0
화이트 스위스 세퍼드,기타,2,0,30.0,2.0,0.0
시잉프랑세즈,기타,2,0,3.5,3.0,0.0
오스트레일리안 켈피,기타,2,1,15.0,2.5,50.0
클라인스피츠,개,2,1,3.15,2.0,50.0
아이리쉬 소프트 코티드 휘튼 테리어,개,2,1,8.0,2.5,50.0
오스트랄리안 캐틀 독,기타,2,2,9.45,9.0,100.0
센트럴 아시안 오브차카,기타,1,1,44.8,4.0,100.0
체코슬로바이칸 울프독,기타,1,0,20.0,1.0,0.0
재패니즈밥테일,기타,1,1,3.0,2.0,100.0
키슈,기타,1,0,5.0,7.0,0.0
키스 훈드,기타,1,0,2.0,0.0,0.0
랫 테리어,개,1,0,8.0,0.0,0.0
웰시 스프링어 스패니얼,개,1,0,6.0,0.0,0.0
로디지안 리즈백 ,기타,1,0,28.0,2.0,0.0
케니스펜더,기타,1,0,25.0,13.0,0.0
필라 브라질레이로,기타,1,0,50.0,5.0,0.0
미니어쳐 불 테리어,개,1,0,15.8,2.0,0.0
아이리쉬 레드 앤 화이트 세터,개,1,0,18.5,5.0,0.0
벨지안 셰퍼드 독(마리노이즈),개,1,0,26.0,5.0,0.0
아메리칸 에스키모,기타,1,1,,0.0,100.0
실리햄 테리어,개,1,0,4.0,,0.0
시코쿠,기타,1,0,4.4,15.0,0.0
