동물종류,나이그룹,성별,중성화 여부,시도,총건수,입양건수,평균체중,입양률
개,6-7세,수컷,중성화 O,서울특별시,524,107,6.372432950191571,20.42
개,6-7세,수컷,중성화 O,세종특별자치시,8,3,6.225,37.5
개,6-7세,수컷,중성화 O,울산광역시,67,19,6.0689552238805975,28.36
개,6-7세,수컷,중성화 O,인천광역시,301,69,5.985249169435216,22.92
개,6-7세,수컷,중성화 O,전라남도,95,27,6.268421052631579,28.42
개,6-7세,수컷,중성화 O,전북특별자치도,120,26,6.575,21.67
개,6-7세,수컷,중성화 O,제주특별자치도,38,9,8.139473684210527,23.68
개,6-7세,수컷,중성화 O,충청남도,193,65,7.761497326203209,33.68
개,6-7세,수컷,중성화 O,충청북도,151,42,6.47046357615894,27.81
개,6-7세,수컷,중성화 X,강원특별자치도,422,57,11.51686460807601,13.51
개,6-7세,수컷,중성화 X,경기도,1870,428,10.524491978609625,22.89
개,6-7세,수컷,중성화 X,경상남도,613,106,11.408562091503267,17.29
개,6-7세,수컷,중성화 X,경상북도,457,107,11.850153846153846,23.41
개,6-7세,수컷,중성화 X,광주광역시,204,42,8.862598039215687,20.59
개,6-7세,수컷,중성화 X,대구광역시,289,51,9.060138408304498,17.65
개,6-7세,수컷,중성화 X,대전광역시,24,7,10.104166666666666,29.17
개,6-7세,수컷,중성화 X,부산광역시,474,108,8.817004219409283,22.78
개,6-7세,수컷,중성화 X,서울특별시,532,127,8.39467043314501,23.87
개,6-7세,수컷,중성화 X,세종특별자치시,10,2,5.779999999999999,20.0
개,6-7세,수컷,중성화 X,울산광역시,132,32,10.575606060606061,24.24
개,6-7세,수컷,중성화 X,인천광역시,417,107,9.762427884615384,25.66
개,6-7세,수컷,중성화 X,전라남도,519,71,14.358670520231213,13.68
개,6-7세,수컷,중성화 X,전북특별자치도,451,114,10.602239467849223,25.28
개,6-7세,수컷,중성화 X,제주특별자치도,158,20,15.751898734177216,12.66
개,6-7세,수컷,중성화 X,충청남도,394,91,10.995102564102565,23.1
개,6-7세,수컷,중성화 X,충청북도,354,82,10.232401129943502,23.16
개,6-7세,암컷,미상,강원특별자치도,284,51,8.77007042253521,17.96
개,6-7세,암컷,미상,경기도,1550,347,8.212987096774192,22.39
개,6-7세,암컷,미상,경상남도,535,129,9.558317757009345,24.11
개,6-7세,암컷,미상,경상북도,218,88,7.762889908256881,40.37
개,6-7세,암컷,미상,광주광역시,255,82,7.25635294117647,32.16
개,6-7세,암컷,미상,대구광역시,271,65,8.28269372693727,23.99
개,6-7세,암컷,미상,대전광역시,159,38,6.452830188679245,23.9
